Ste,Et,Cpt gen.,Nat,Auxiliaire,Libelle CG,Libelle(suite),Exer,Pr,Dt piece,Chrono,n[piece,Jrn,Type,Libelle 1,Libelle 2,Et Pce,Nat pie,N[audit,Jrn ref,Refer,Echeance,MR,Nat,Cpt ana,Nat ana -2-,  Compte analytique   rang 2,Nat ana -3-,  Compte analytique   rang 3,Debit,Credit,Solde,Dev,L,L/P,n[conso,Cg c/partie,Cte Auxil c/partie,Reg TVA,Tx TVA,Debit devise,credit devise,Solde Dev.,Dev
1,,440000,FOU,66200,FOURNISSEURS MARCHANDISES,,2018,6,27/03/2018,94065,275,ACM,FACTF,8020223098,,1,0,,PBN,27207,30/04/2018,SE,,,,,,,,"9610,46","-9610,46",EUR,,0,0,604000,,,0,,"9610,46","-9610,46",EUR
1,,440000,FOU,66200,FOURNISSEURS MARCHANDISES,,2018,6,27/03/2018,94071,361,ACM,FACTF,8020223182,,1,0,,PBN,27207,30/04/2018,SE,,,,,,,,"6999,92","-6999,92",EUR,,0,0,604000,,,0,,"6999,92","-6999,92",EUR
1,,440000,FOU,66200,FOURNISSEURS MARCHANDISES,,2018,6,31/03/2018,94364,416,ACM,FACTF,8020223309,,1,0,,PBN,27207,30/04/2018,SE,,,,,,,,"537,54","-537,54",EUR,,0,0,604000,,,0,,"537,54","-537,54",EUR
1,,440000,FOU,66200,FOURNISSEURS MARCHANDISES,,2018,6,31/03/2018,94365,417,ACM,FACTF,8020223310,,1,0,,PBN,27207,30/04/2018,SE,,,,,,,,"29685,97","-29685,97",EUR,,0,0,604000,,,0,,"29685,97","-29685,97",EUR
1,,440000,FOU,66200,FOURNISSEURS MARCHANDISES,,2018,6,31/03/2018,94376,463,ACM,FACTF,8020223498,,1,0,,PBN,27207,30/04/2018,SE,,,,,,,,"19495,8","-19495,8",EUR,,0,0,604000,,,0,,"19495,8","-19495,8",EUR
1,,440000,FOU,66200,FOURNISSEURS MARCHANDISES,,2018,6,31/03/2018,94379,503,ACM,FACTF,8020223595,,1,0,,PBN,27207,30/04/2018,SE,,,,,,,,"2272,11","-2272,11",EUR,,0,0,604000,,,0,,"2272,11","-2272,11",EUR
1,,440000,FOU,66200,FOURNISSEURS MARCHANDISES,,2018,6,31/03/2018,94380,504,ACM,FACTF,8020223594,,1,0,,PBN,27207,30/04/2018,SE,,,,,,,,"167230,13","-167230,13",EUR,,0,0,604000,,,0,,"167230,13","-167230,13",EUR
1,,440000,FOU,66200,FOURNISSEURS MARCHANDISES,,2018,6,31/03/2018,94521,280,ACM,FACTF,8020223096,,1,0,0,PBN,27207,30/04/2018,SE,,,,,,,,"17318,02","-17318,02",EUR,,0,0,604000,,,0,,"17318,02","-17318,02",EUR
1,,440000,FOU,66445,FOURNISSEURS MARCHANDISES,,2018,6,31/03/2018,94404,577,ACM,FACTF,1802142,,1,0,,PBN,27210,27/04/2018,SE,,,,,,,,"110,88","-110,88",EUR,,0,0,604900,,,0,,"110,88","-110,88",EUR
1,,440000,FOU,66906,FOURNISSEURS MARCHANDISES,,2018,6,31/03/2018,94391,550,ACM,FACTF,70183838,,1,0,,ACM,68,25/04/2018,SE,,,,,,,,"6459,01","-6459,01",EUR,,0,0,604000,,,0,,"6459,01","-6459,01",EUR
1,,440000,FOU,66906,FOURNISSEURS MARCHANDISES,,2018,6,31/03/2018,94399,567,ACM,FACTF,70183874,,1,0,,ACM,68,27/04/2018,SE,,,,,,,,10482,-10482,EUR,,0,0,604000,,,0,,10482,-10482,EUR
1,,440000,FOU,66906,FOURNISSEURS MARCHANDISES,,2018,6,31/03/2018,94406,585,ACM,FACTF,70183889,,1,0,,ACM,68,28/04/2018,SE,,,,,,,,"10468,74","-10468,74",EUR,,0,0,604000,,,0,,"10468,74","-10468,74",EUR
1,,440000,FOU,67530,FOURNISSEURS MARCHANDISES,,2018,6,31/03/2018,94508,663,ACM,FACTF,FAC1803100435,,1,0,,PBN,27213,29/04/2018,SE,,,,,,,,"4015,68","-4015,68",EUR,,0,0,604100,,,0,,"4015,68","-4015,68",EUR
