id/id,code_intrastat
__import__.product_5502405_product_template,40082190
__import__.product_5192276_product_template,23099096
__import__.product_5502403_product_template,40082190
__import__.product_5221125_product_template,23091011
__import__.product_5221093_product_template,23091011
__import__.product_5042806_product_template,40082190
__import__.product_8110610_product_template,30049000
__import__.product_2931137_product_template,30049000
__import__.product_5904042_product_template,64011000
__import__.product_1239082_product_template,23091031
__import__.product_1238064_product_template,23091051
__import__.product_5829269_product_template,23091051
__import__.product_5822814_product_template,23091031
__import__.product_5822817_product_template,23091051
__import__.product_5826095_product_template,23091051
__import__.product_7520895_product_template,23091031
__import__.product_8211096_product_template,30059099
__import__.product_5141792_product_template,30059050
__import__.product_1238021_product_template,23091051
__import__.product_5661852_product_template,90189084
__import__.product_5296161_product_template,90189084
__import__.product_0250019_product_template,23099031
__import__.product_2672418_product_template,30049000
__import__.product_7416666_product_template,23091031
__import__.product_5038752_product_template,39262000
__import__.product_8259820_product_template,23099051
__import__.product_8241909_product_template,38220000
__import__.product_7196650_product_template,23091051
__import__.product_5821809_product_template,23091051
__import__.product_5821807_product_template,23091051
__import__.product_6825017_product_template,23091051
__import__.product_6825823_product_template,23091011
__import__.product_3289444_product_template,30049000
__import__.product_8206936_product_template,34022090
__import__.product_4260002_product_template,23091051
__import__.product_4260201_product_template,23091031
__import__.product_5307727_product_template,90183110
__import__.product_1231963_product_template,23091051
__import__.product_6049906_product_template,29413000
__import__.product_4500464_product_template,23091031
__import__.product_5828667_product_template,23091031
__import__.product_8012190_product_template,30061090
__import__.product_5826662_product_template,23091051
__import__.product_5825483_product_template,23091031
__import__.product_5341030_product_template,23091031
__import__.product_5584600_product_template,30041000
__import__.product_8109910_product_template,95069110
__import__.product_8135082_product_template,23099096
__import__.product_8343283_product_template,48192000
__import__.product_7110035_product_template,30023000
__import__.product_3213806_product_template,30049000
__import__.product_5828096_product_template,23091051
__import__.product_5828089_product_template,23091051
__import__.product_4210014_product_template,23091031
__import__.product_8189037_product_template,90183900
__import__.product_5141775_product_template,30059050
__import__.product_5741500_product_template,30023000
__import__.product_2935252_product_template,30042000
__import__.product_6350317_product_template,29413000
__import__.product_2548626_product_template,29369000
__import__.product_7196466_product_template,23091031
__import__.product_7196443_product_template,23091031
__import__.product_5822119_product_template,23091011
__import__.product_4210103_product_template,23091051
__import__.product_5317440_product_template,34022090
__import__.product_4980040_product_template,23091031
__import__.product_4280101_product_template,23091031
__import__.product_4980044_product_template,23091031
__import__.product_2643245_product_template,30049000
__import__.product_5822099_product_template,23091031
__import__.product_5829189_product_template,23091051
__import__.product_1234204_product_template,23091051
__import__.product_1231208_product_template,23091051
__import__.product_2357465_product_template,23091031
__import__.product_3296423_product_template,30023000
__import__.product_8069304_product_template,38220000
__import__.product_5829002_product_template,23091051
__import__.product_1239002_product_template,23091051
__import__.product_8354418_product_template,90189084
__import__.product_5192741_product_template,23099096
__import__.product_3535580_product_template,30023000
__import__.product_5017970_product_template,90189084
__import__.product_5017975_product_template,90189084
__import__.product_3621166_product_template,30021500
__import__.product_3606860_product_template,30023000
__import__.product_3614765_product_template,30049000
__import__.product_5823403_product_template,30042000
__import__.product_1171487_product_template,33051000
__import__.product_4220190_product_template,23091051
__import__.product_2770109_product_template,23091051
__import__.product_2879542_product_template,30049000
__import__.product_2461903_product_template,30049000
__import__.product_1502100_product_template,94054099
__import__.product_1501300_product_template,94054099
__import__.product_4456576_product_template,23099096
__import__.product_3004421_product_template,23091011
__import__.product_1300227_product_template,30023000
__import__.product_4280102_product_template,23091031
