id,name,bic
__import__.bank_MGTCBEBET02,EUROCLEAR BANK S.A / N.V,MGTCBEBET02
__import__.bank_MGTCBEBET03,EUROCLEAR BANK S.A / N.V,MGTCBEBET03
__import__.bank_MGTCBEBET04,EUROCLEAR BANK S.A / N.V,MGTCBEBET04
__import__.bank_MGTCBEBET05,EUROCLEAR BANK S.A / N.V,MGTCBEBET05
__import__.bank_MGTCBEBET06,EUROCLEAR BANK S.A / N.V,MGTCBEBET06
__import__.bank_MGTCBEBET07,EUROCLEAR BANK S.A / N.V,MGTCBEBET07
__import__.bank_MGTCBEBET08,EUROCLEAR BANK S.A / N.V,MGTCBEBET08
__import__.bank_MGTCBEBET09,EUROCLEAR BANK S.A / N.V,MGTCBEBET09
__import__.bank_MGTCBEBET10,EUROCLEAR BANK S.A / N.V,MGTCBEBET10
__import__.bank_MGTCBEBET11,EUROCLEAR BANK S.A / N.V,MGTCBEBET11
__import__.bank_MGTCBEBET12,EUROCLEAR BANK S.A / N.V,MGTCBEBET12
__import__.bank_MGTCBEBET13,EUROCLEAR BANK S.A / N.V,MGTCBEBET13
__import__.bank_MGTCBEBET14,EUROCLEAR BANK S.A / N.V,MGTCBEBET14
__import__.bank_MGTCBEBET15,EUROCLEAR BANK S.A / N.V,MGTCBEBET15
__import__.bank_MGTCBEBET16,EUROCLEAR BANK S.A / N.V,MGTCBEBET16
__import__.bank_MGTCBEBET17,EUROCLEAR BANK S.A / N.V,MGTCBEBET17
__import__.bank_MGTCBEBET18,EUROCLEAR BANK S.A / N.V,MGTCBEBET18
__import__.bank_MGTCBEBET19,EUROCLEAR BANK S.A / N.V,MGTCBEBET19
__import__.bank_MGTCBEBET20,EUROCLEAR BANK S.A / N.V,MGTCBEBET20
__import__.bank_CIKBBEBBDIF,EUROCLEAR BELGIUM (PREVIOUSLY KNOWN AS CIK BELGIUM),CIKBBEBBDIF
__import__.bank_CIKBBEBBEA1,EUROCLEAR BELGIUM (PREVIOUSLY KNOWN AS CIK BELGIUM),CIKBBEBBEA1
__import__.bank_CIKBBEBBEA2,EUROCLEAR BELGIUM (PREVIOUSLY KNOWN AS CIK BELGIUM),CIKBBEBBEA2
__import__.bank_CIKBBEBBEA3,EUROCLEAR BELGIUM (PREVIOUSLY KNOWN AS CIK BELGIUM),CIKBBEBBEA3
__import__.bank_CIKBBEBBMIG,EUROCLEAR BELGIUM (PREVIOUSLY KNOWN AS CIK BELGIUM),CIKBBEBBMIG
