id,belgium_only
__import__.product_5828649,1
__import__.product_5828662,1
__import__.product_5828666,1
__import__.product_5828667,1
__import__.product_5828668,1
__import__.product_5828690,1
__import__.product_5828692,1
__import__.product_5828693,1
__import__.product_5829001,1
__import__.product_5829002,1
__import__.product_5830000,1
__import__.product_5967000,1
__import__.product_5967001,1
__import__.product_5967003,1
__import__.product_5967011,1
__import__.product_6045040,1
__import__.product_6045081,1
__import__.product_6045082,1
__import__.product_6045083,1
__import__.product_6045085,1
__import__.product_6045086,1
__import__.product_6045087,1
__import__.product_6045088,1
__import__.product_6045089,1
__import__.product_6045190,1
__import__.product_6045200,1
__import__.product_6045201,1
__import__.product_6045202,1
__import__.product_6045203,1
__import__.product_6045204,1
__import__.product_6045205,1
__import__.product_6045206,1
__import__.product_6045207,1
__import__.product_6045208,1
__import__.product_6045209,1
__import__.product_6045210,1
__import__.product_6045211,1
__import__.product_6045385,1
__import__.product_6258029,1
__import__.product_7096600,1
__import__.product_7420040,1
__import__.product_7455050,1
__import__.product_7517924,1
__import__.product_7594184,1
__import__.product_8088939,1
__import__.product_8090200,1
__import__.product_8106900,1
__import__.product_8107100,1
__import__.product_8108600,1
__import__.product_8235000,1
__import__.product_8259801,1
__import__.product_8259802,1
__import__.product_8259803,1
__import__.product_8259804,1
__import__.product_8259805,1
__import__.product_8259806,1
__import__.product_8259807,1
__import__.product_8259808,1
__import__.product_8259809,1
__import__.product_8259810,1
__import__.product_8259811,1
__import__.product_8259812,1
__import__.product_8259813,1
__import__.product_8259814,1
__import__.product_8259815,1
__import__.product_8259816,1
__import__.product_8259817,1
__import__.product_8259818,1
__import__.product_8259819,1
__import__.product_8259820,1
__import__.product_8259821,1
__import__.product_8259822,1
__import__.product_8259823,1
__import__.product_8259824,1
__import__.product_8259825,1
__import__.product_8259826,1
__import__.product_8259827,1
__import__.product_8259828,1
__import__.product_8259829,1
__import__.product_8259830,1
__import__.product_8259831,1
__import__.product_8259832,1
__import__.product_8259833,1
__import__.product_8259834,1
__import__.product_8259835,1
__import__.product_8259836,1
__import__.product_8259837,1
__import__.product_8259838,1
__import__.product_8259839,1
__import__.product_8259840,1
__import__.product_8259841,1
__import__.product_8259842,1
__import__.product_8259843,1
__import__.product_8259844,1
__import__.product_8259845,1
__import__.product_8259846,1
__import__.product_8259847,1
__import__.product_8259848,1
__import__.product_8259850,1
__import__.product_8259851,1
__import__.product_8259852,1
__import__.product_8259853,1
__import__.product_8259854,1
__import__.product_8259856,1
__import__.product_8259857,1
__import__.product_8259858,1
__import__.product_8401500,1
__import__.product_8403500,1
__import__.product_8425200,1
__import__.product_8446000,1
__import__.product_8459324,1
__import__.product_8466000,1
__import__.product_8474000,1
__import__.product_8504300,1
__import__.product_8504500,1
__import__.product_8514100,1
__import__.product_8515100,1
__import__.product_8560010,1
__import__.product_8762000,1
__import__.product_8762100,1
__import__.product_8804600,1
__import__.product_8804700,1
__import__.product_8825500,1
__import__.product_8825600,1
__import__.product_8825700,1
__import__.product_8825800,1
__import__.product_8825900,1
__import__.product_8826000,1
__import__.product_8826100,1
__import__.product_8826400,1
__import__.product_8826500,1
__import__.product_8826600,1
__import__.product_8830000,1
__import__.product_8847600,1
__import__.product_8895300,1
__import__.product_8916000,1
__import__.product_8952500,1
__import__.product_8952700,1
__import__.product_9012400,1
__import__.product_9015700,1
__import__.product_9015800,1
__import__.product_9352000,1
__import__.product_9536500,1
