price,product_code,name/id,id,product_tmpl_id/id
11.91,,__import__.supplier_32420,__import__.supplierinfo_32420-0025420,__import__.product_0025420_product_template
12.61,,__import__.supplier_32420,__import__.supplierinfo_32420-0025514,__import__.product_0025514_product_template
0,,__import__.supplier_77340,__import__.supplierinfo_77340-0025593,__import__.product_0025593_product_template
0,,__import__.supplier_77340,__import__.supplierinfo_77340-0025700,__import__.product_0025700_product_template
3.54,,__import__.supplier_63195,__import__.supplierinfo_63195-0025817,__import__.product_0025817_product_template
20.22,,__import__.supplier_63195,__import__.supplierinfo_63195-0025825,__import__.product_0025825_product_template
0,,__import__.supplier_77340,__import__.supplierinfo_77340-0025916,__import__.product_0025916_product_template
10.01,0026245,__import__.supplier_63195,__import__.supplierinfo_63195-0026245,__import__.product_0026245_product_template
10.84,,__import__.supplier_81500,__import__.supplierinfo_81500-0026328,__import__.product_0026328_product_template
7.76,,__import__.supplier_81500,__import__.supplierinfo_81500-0026336,__import__.product_0026336_product_template
2.88,,__import__.supplier_63195,__import__.supplierinfo_63195-0026518,__import__.product_0026518_product_template
14.42,,__import__.supplier_32420,__import__.supplierinfo_32420-0026724,__import__.product_0026724_product_template
15.67,10162,__import__.supplier_81200,__import__.supplierinfo_81200-0026963,__import__.product_0026963_product_template
5.75,24497,__import__.supplier_63195,__import__.supplierinfo_63195-0027400,__import__.product_0027400_product_template
37.04,,__import__.supplier_32420,__import__.supplierinfo_32420-0027617,__import__.product_0027617_product_template
14.18,,__import__.supplier_32420,__import__.supplierinfo_32420-0027716,__import__.product_0027716_product_template
27.96,,__import__.supplier_32420,__import__.supplierinfo_32420-0027720,__import__.product_0027720_product_template
4.44,,__import__.supplier_62600,__import__.supplierinfo_62600-0027748,__import__.product_0027748_product_template
2.14,,__import__.supplier_63195,__import__.supplierinfo_63195-0027771,__import__.product_0027771_product_template
1.70,,__import__.supplier_63502,__import__.supplierinfo_63502-0027904,__import__.product_0027904_product_template
19.29,,__import__.supplier_63195,__import__.supplierinfo_63195-0028555,__import__.product_0028555_product_template
8.88,,__import__.supplier_63195,__import__.supplierinfo_63195-0028829,__import__.product_0028829_product_template
7.63,,__import__.supplier_63195,__import__.supplierinfo_63195-0029025,__import__.product_0029025_product_template
3.41,,__import__.supplier_63195,__import__.supplierinfo_63195-0029058,__import__.product_0029058_product_template
15.10,82854712,__import__.supplier_62600,__import__.supplierinfo_62600-0029132,__import__.product_0029132_product_template
63.38,192216,__import__.supplier_67530,__import__.supplierinfo_67530-0029149,__import__.product_0029149_product_template
4.02,,__import__.supplier_63195,__import__.supplierinfo_63195-0029157,__import__.product_0029157_product_template
2.96,8062727,__import__.supplier_79000,__import__.supplierinfo_79000-0029226,__import__.product_0029226_product_template
2.01,,__import__.supplier_63195,__import__.supplierinfo_63195-0029249,__import__.product_0029249_product_template
3.36,9100,__import__.supplier_60400,__import__.supplierinfo_60400-0029306,__import__.product_0029306_product_template
9.29,,__import__.supplier_63195,__import__.supplierinfo_63195-0029348,__import__.product_0029348_product_template
55.01,,__import__.supplier_77050,__import__.supplierinfo_77050-0029643,__import__.product_0029643_product_template
34.11,8036397,__import__.supplier_79000,__import__.supplierinfo_79000-0029655,__import__.product_0029655_product_template
1.11,,__import__.supplier_63195,__import__.supplierinfo_63195-0029777,__import__.product_0029777_product_template
51.70,20030195,__import__.supplier_68200,__import__.supplierinfo_68200-0030195,__import__.product_0030195_product_template
2.16,,__import__.supplier_63195,__import__.supplierinfo_63195-0030296,__import__.product_0030296_product_template
