code;en_US;fr_BE;nl_BE;parent
diabet_pppvdppchi;Diabetes;Diabète;Diabetes;pp_pur_vet_d_pppchi
digest_pppvdppchi;Digestion;Digestion;Spijsvertering;pp_pur_vet_d_pppchi
foie_pppvdppchi;Liver;Foie;Lever;pp_pur_vet_d_pppchi
peau_pppvdppchi;Skin;Peau;Huid;pp_pur_vet_d_pppchi
poids_pppvdppchi;Weight;Poids;Gewicht;pp_pur_vet_d_pppchi
reins_pppvdppchi;Kidney;Reins;Nieren;pp_pur_vet_d_pppchi
urin_pppvdppchi;Urinary;Urinaire;Urinair;pp_pur_vet_d_pppchi
sanimed_chien;Sanimed;Sanimed;Sanimed;chien_ali
sanimed_schi;Sanimed;Sanimed;Sanimed;sanimed_chien
physio_sanimedschi;Physiological;Physiologique;Fysiologisch;sanimed_schi
allerg_sanimedschi;Allergy;Allergie;Allergie;sanimed_schi
articul_sanimedschi;Joint;Articulation;Gewricht;sanimed_schi
bucco_dent_sanimedschi;Oral;Bucco-dentaire;"Mond en gebit";sanimed_schi
coeur_sanimedschi;Heart;Cœur;Hart;sanimed_schi
comport_sanimedschi;Behaviour;Comportement;Gedrag;sanimed_schi
conval_sanimedschi;Convalescence;Convalescence;Herstel;sanimed_schi
diabet_sanimedschi;Diabetes;Diabète;Diabetes;sanimed_schi
digest_sanimedschi;Digestion;Digestion;Spijsvertering;sanimed_schi
foie_sanimedschi;Liver;Foie;Lever;sanimed_schi
peau_sanimedschi;Skin;Peau;Huid;sanimed_schi
poids_sanimedschi;Weight;Poids;Gewicht;sanimed_schi
reins_sanimedschi;Kidney;Reins;Nieren;sanimed_schi
urin_sanimedschi;Urinary;Urinaire;Urinair;sanimed_schi
trovet_chien;Trovet;Trovet;Trovet;chien_ali
trovet_tchi;Trovet;Trovet;Trovet;trovet_chien
physio_ttchi;Physiological;Physiologique;Fysiologisch;trovet_tchi
allerg_ttchi;Allergy;Allergie;Allergie;trovet_tchi
articul_ttchi;Joint;Articulation;Gewricht;trovet_tchi
bucco_dent_ttchi;Oral;Bucco-dentaire;"Mond en gebit";trovet_tchi
coeur_ttchi;Heart;Cœur;Hart;trovet_tchi
comport_ttchi;Behaviour;Comportement;Gedrag;trovet_tchi
conval_ttchi;Convalescence;Convalescence;Herstel;trovet_tchi
diabet_ttchi;Diabetes;Diabète;Diabetes;trovet_tchi
digest_ttchi;Digestion;Digestion;Spijsvertering;trovet_tchi
foie_ttchi;Liver;Foie;Lever;trovet_tchi
peau_ttchi;Skin;Peau;Huid;trovet_tchi
poids_ttchi;Weight;Poids;Gewicht;trovet_tchi
reins_ttchi;Kidney;Reins;Nieren;trovet_tchi
urin_ttchi;Urinary;Urinaire;Urinair;trovet_tchi
biscuits_ttchi;Biscuits;Biscuits;Koekjes;trovet_tchi
eukanuba_chien;Eukanuba;Eukanuba;Eukanuba;chien_ali
euka_echi;Eukanuba;Eukanuba;Eukanuba;eukanuba_chien
physio_eechi;Physiological;Physiologique;Fysiologisch;euka_echi
biscuits_eechi;Biscuits;Biscuits;Koekjes;euka_echi
euka_v_d_echi;"Eukanuba Veterinary Diet";"Eukanuba Veterinary Diet";"Eukanuba Veterinary Diet";eukanuba_chien
