id;type;default_code;name;categ_id;route_ids/id;weight;tracking
test_product_5461296;product;5461296;COMPLETE HAMSTER  500gr;Aliments;purchase.route_warehouse0_buy;0.5;lot
test_product_6350504;product;6350504;BIO PLUS 100GR;Médicaments;purchase.route_warehouse0_buy,__setup__.stock_location_route_pick_froid;0.14;lot
test_product_5823675;product;5823675;METABOLIC TREATS COUNTER DISPLAY;Aliments;purchase.route_warehouse0_buy;3;lot
test_product_7735027;product;7735027;ETHER 1L;Médicaments;purchase.route_warehouse0_buy;0.77;lot
test_product_49478;product;49478;ISOBETADINE BUCCALE 200ml;Médicaments;purchase.route_warehouse0_buy;0.36;lot
test_product_2582823;product;2582823;ANARTHRON 100MG/ML 10ml;Médicaments;purchase.route_warehouse0_buy,__setup__.stock_location_route_pick_froid;0.01;lot
test_product_2152445;product;2152445;HY 50 VET 3ml;Médicaments;purchase.route_warehouse0_buy,__setup__.stock_location_route_pick_froid;0.04;lot
test_product_6991434;product;6991434;COLICILLINE 100ML;Médicaments;purchase.route_warehouse0_buy;0.1;lot
test_product_6780401;product;6780401;DUPLOCILLINE SUSP INJ 100ML;Médicaments;purchase.route_warehouse0_buy,__setup__.stock_location_route_pick_froid;0.1;lot
test_product_6837354;product;6837354;AVIFFA RTI 10x1000d;Médicaments;purchase.route_warehouse0_buy,__setup__.stock_location_route_pick_froid;1;lot
test_product_6760723;product;6760723;SYNULOX IM 24 TUBES;Médicaments;purchase.route_warehouse0_buy;0.49;lot
test_product_6989408;product;6989408;PENIJECTYL 100ml;Médicaments;purchase.route_warehouse0_buy;0.1;lot
test_product_6989414;product;6989414;PENIJECTYL 250ML;Médicaments;purchase.route_warehouse0_buy;0.25;lot
test_product_6706008;product;6706008;SHOTAPEN 250ML;Médicaments;purchase.route_warehouse0_buy,__setup__.stock_location_route_pick_froid;0.25;lot
test_product_6968518;product;6968518;CHORULON 5 FLACONS /5 SOLVANTS (cascade);Médicaments;purchase.route_warehouse0_buy,__setup__.stock_location_route_pick_froid;0.1;lot
test_product_6824498;product;6824498;MULTIBIO SUSP INJ 100ml;Médicaments;purchase.route_warehouse0_buy;0.1;lot
test_product_8110656;product;8110656;ARA 3000 ALPHA 6x5ML;Médicaments;purchase.route_warehouse0_buy,__setup__.stock_location_route_pick_froid;0.04;lot
test_product_6771773;product;6771773;ARA 3000 ALPHA CHIEN 30 SERINGUES 5ml;Médicaments;purchase.route_warehouse0_buy;0;lot
test_product_6980956;product;6980956;ARA 3000 BETA CHIEN 30 SERINGUES  2ml;Médicaments;purchase.route_warehouse0_buy;0;lot
test_product_6980979;product;6980979;ARA 3000 BETA CHIEN 30 SERINGUES  5ml;Médicaments;purchase.route_warehouse0_buy;0.37;lot
test_product_6980985;product;6980985;ARA 3000 BETA CHIEN 30 SERINGUES 10ml;Médicaments;purchase.route_warehouse0_buy;0.65;lot
test_product_6763704;product;6763704;ARA ARTHRITE VEAU 10 SACHETS 6x5ML;Médicaments;purchase.route_warehouse0_buy,__setup__.stock_location_route_pick_froid;0;lot
