id,name,bin_checksum_1,location_id/id,kind,zone,corridor,shelf,height,box
__import__.location_loc_QLA235,QLA235,65,__import__.location_family_Q,bin,Q,L,A,2,35
__import__.location_loc_GBB404,GBB404,95,__import__.location_family_G,bin,G,B,B,4,04
__import__.location_loc_GI03A4,GI03A4,45,__import__.location_family_G,bin,G,I,0,3,A4
__import__.location_loc_QKA120,QKA120,63,__import__.location_family_Q,bin,Q,K,A,1,20
__import__.location_loc_GK04B4,GK04B4,59,__import__.location_family_G,bin,G,K,0,4,B4
__import__.location_loc_GBX501,GBX501,57,__import__.location_family_G,bin,G,B,X,5,01
__import__.location_loc_AK06C0,AK06C0,16,__import__.location_family_A,bin,A,K,06,C,0
__import__.location_loc_AB07B3,AB07B3,86,__import__.location_family_A,bin,A,B,07,B,3
__import__.location_loc_AEE240,AEE240,87,__import__.location_family_A,bin,A,E,E2,4,0
__import__.location_loc_AA06B3,AA06B3,03,__import__.location_family_A,bin,A,A,06,B,3
__import__.location_loc_GE28A3,GE28A3,99,__import__.location_family_G,bin,G,E,2,8,A3
__import__.location_loc_QCF110,QCF110,97,__import__.location_family_Q,bin,Q,C,F,1,10
__import__.location_loc_QKA130,QKA130,31,__import__.location_family_Q,bin,Q,K,A,1,30
__import__.location_loc_GBG415,GBG415,06,__import__.location_family_G,bin,G,B,G,4,15
__import__.location_loc_GD03B3,GD03B3,14,__import__.location_family_G,bin,G,D,0,3,B3
__import__.location_loc_GBM411,GBM411,99,__import__.location_family_G,bin,G,B,M,4,11
__import__.location_loc_GGB208,GGB208,47,__import__.location_family_G,bin,G,G,B,2,08
__import__.location_loc_AB10A3,AB10A3,90,__import__.location_family_A,bin,A,B,10,A,3
__import__.location_loc_GD04A1,GD04A1,12,__import__.location_family_G,bin,G,D,0,4,A1
__import__.location_loc_GK10B1,GK10B1,23,__import__.location_family_G,bin,G,K,1,0,B1
__import__.location_loc_GBF304,GBF304,23,__import__.location_family_G,bin,G,B,F,3,04
