id,create_date,default_code,list_price,standard_price,indicated_price,sale_delay,weight,length,width,depth,uom_po_id/id,uom_id/id,medical_device,cnk_code,web_published,barcode,tracking,taxes_id/id,supplier_taxes_id/id,categ_id/id,type,state_id/id,unit_in_shrink_wrap,unit_in_box,unit_in_pallet,storage_temperature_id/id,ratio_main_product,ratio_additional_product,orderpoint_min,orderpoint_max,veterinary_only,route_ids/id,active,name,price_category_id/id,manufacturer/id,orderpoint_qty_multiple
__import__.product_2690071,2011-09-06,2690071,6.96,4.84,10.70,0,0.20,5.50,5.50,17.00,product.product_uom_unit,product.product_uom_unit,,2690071,True,,lot,"l10n_be.1_attn_VAT-OUT-06-L,l10n_be_apb_tax.1_apb_01_out,l10n_be_antibiotic_tax.1_antibiotic_001_in,l10n_be_antibiotic_tax.1_antibiotic_001_out",l10n_be.1_attn_VAT-IN-V81-06,specific_data.product_categ_topiques,product,,0,60,0,specific_product.product_storage_temperature_ambient,0,0,200.000,448.000,,purchase.route_warehouse0_buy,True,ENGEMYCINE SPRAY 200ml,,__import__.supplier_71100,1
__import__.product_2691723,2010-02-15,2691723,270.15,175.20,415.22,0,0.76,11.90,21.50,9.00,product.product_uom_unit,product.product_uom_unit,,2691723,True,,lot,"l10n_be.1_attn_VAT-OUT-06-L,l10n_be_apb_tax.1_apb_01_out",l10n_be.1_attn_VAT-IN-V81-06,specific_data.product_categ_vaccins,product,,0,12,0,specific_product.product_storage_temperature_6,1,50,20.000,42.000,,purchase.route_warehouse0_buy,True,FELIGEN CRP 50D,,__import__.supplier_81200,1
__import__.product_2710846,2011-03-22,2710846,7.42,6.45,11.41,0,0.04,3.90,3.90,7.60,product.product_uom_unit,product.product_uom_unit,,2710846,True,,lot,"l10n_be.1_attn_VAT-OUT-06-L,l10n_be_apb_tax.1_apb_01_out",l10n_be.1_attn_VAT-IN-V81-06,specific_data.product_categ_sys_nerveux,product,,0,126,0,specific_product.product_storage_temperature_ambient,0,0,56.000,190.000,,purchase.route_warehouse0_buy,True,PLACIVET 10ML,,__import__.supplier_83300,1
__import__.product_2730984,2010-10-03,2730984,27.40,19.84,42.11,0,0.04,3.30,3.20,6.80,product.product_uom_unit,product.product_uom_unit,,2730984,True,,lot,"l10n_be.1_attn_VAT-OUT-06-L,l10n_be_apb_tax.1_apb_01_out",l10n_be.1_attn_VAT-IN-V81-06,specific_data.product_categ_sys_nerveux,product,,0,432,0,specific_product.product_storage_temperature_ambient,0,0,29.000,106.000,,purchase.route_warehouse0_buy,True,MORPHASOL  4MG/ML 10ml,,__import__.supplier_60422,1
__import__.product_2738268,2011-01-20,2738268,4.95,3.66,7.60,0,0.17,5.00,5.00,10.00,product.product_uom_unit,product.product_uom_unit,,2738268,True,,lot,"l10n_be.1_attn_VAT-OUT-06-L,l10n_be_apb_tax.1_apb_01_out",l10n_be.1_attn_VAT-IN-V81-06,specific_data.product_categ_divers_veto,product,,0,0,0,specific_product.product_storage_temperature_ambient,0,0,3.000,12.000,,purchase.route_warehouse0_buy,True,ECUCHOL  125ML,,__import__.supplier_66008,1
__import__.product_2746501,2010-11-17,2746501,11.99,10.37,21.04,0,0.54,6.80,18.00,26.00,product.product_uom_unit,product.product_uom_unit,,2746501,True,,lot,l10n_be.1_attn_VAT-OUT-21-L,l10n_be.1_attn_VAT-IN-V81-21,specific_data.product_categ_divers_para,product,,0,10,0,specific_product.product_storage_temperature_ambient,0,0,80.000,160.000,,purchase.route_warehouse0_buy,True,VEGGIEDENT LARGE (+de30KG),,__import__.supplier_81200,1
__import__.product_2751410,2011-11-28,2751410,72.50,63.01,111.43,0,0.07,3.10,5.00,14.00,product.product_uom_unit,product.product_uom_unit,,2751410,True,,lot,"l10n_be.1_attn_VAT-OUT-06-L,l10n_be_apb_tax.1_apb_01_out",l10n_be.1_attn_VAT-IN-V81-06,specific_data.product_categ_vaccins,product,,0,200,0,specific_product.product_storage_temperature_6,0,0,50.000,80.000,,purchase.route_warehouse0_buy,True,COXEVAC 40ml,,__import__.supplier_79100,1
__import__.product_2761427,2011-11-16,2761427,21.36,16.72,37.47,0,0.06,12.00,2.70,18.00,product.product_uom_unit,product.product_uom_unit,,2761427,True,,lot,l10n_be.1_attn_VAT-OUT-21-L,l10n_be.1_attn_VAT-IN-V81-21,specific_data.product_categ_divers_para,product,,0,20,0,specific_product.product_storage_temperature_ambient,0,0,10.000,36.000,,purchase.route_warehouse0_buy,True,ADAPTIL COLLIER 70CM,,__import__.supplier_79100,1
__import__.product_2761435,2011-11-16,2761435,18.23,14.27,31.98,0,0.05,12.00,2.50,18.00,product.product_uom_unit,product.product_uom_unit,,2761435,True,,lot,l10n_be.1_attn_VAT-OUT-21-L,l10n_be.1_attn_VAT-IN-V81-21,specific_data.product_categ_divers_para,product,,0,20,0,specific_product.product_storage_temperature_ambient,0,0,15.000,53.000,,purchase.route_warehouse0_buy,True,ADAPTIL COLLIER 45cm,,__import__.supplier_79100,1
__import__.product_2769388,2011-02-05,2769388,42.66,33.21,65.57,0,0.78,21.00,14.00,12.00,product.product_uom_unit,product.product_uom_unit,,2769388,True,,lot,"l10n_be.1_attn_VAT-OUT-06-L,l10n_be_apb_tax.1_apb_01_out",l10n_be.1_attn_VAT-IN-V81-06,specific_data.product_categ_pis,product,,8,8,0,specific_product.product_storage_temperature_ambient,0,0,18.000,66.000,,purchase.route_warehouse0_buy,True,RILEXINE 200 LC 24INJ,,__import__.supplier_81200,8
