id,life_date,checksum,product_id/id,name
__import__.stock_production_lot_107130_2879526,2020-08-31 00:00:00,138,__import__.product_2879526,107130
__import__.stock_production_lot_54163_2882199,2020-04-30 00:00:00,861,__import__.product_2882199,54163
__import__.stock_production_lot_KP0D1G8_2886943,2021-02-28 00:00:00,340,__import__.product_2886943,KP0D1G8
__import__.stock_production_lot_KP0D56B_2886943,2021-03-31 00:00:00,320,__import__.product_2886943,KP0D56B
__import__.stock_production_lot_KP0D0BW_2890184,2023-01-31 00:00:00,945,__import__.product_2890184,KP0D0BW
__import__.stock_production_lot_KP0D7WJ_2890184,2023-04-30 00:00:00,370,__import__.product_2890184,KP0D7WJ
__import__.stock_production_lot_300619_2892545,2019-06-30 00:00:00,689,__import__.product_2892545,300619
__import__.stock_production_lot_300420_2923670,2020-04-30 00:00:00,535,__import__.product_2923670,300420
__import__.stock_production_lot_310320_2923670,2020-03-31 00:00:00,527,__import__.product_2923670,310320
__import__.stock_production_lot_LC37041A_2932531,2019-04-30 00:00:00,546,__import__.product_2932531,LC37041A
__import__.stock_production_lot_8F04735_2941086,2021-02-28 00:00:00,468,__import__.product_2941086,8F04735
__import__.stock_production_lot_8F13084_2941086,2021-04-30 00:00:00,539,__import__.product_2941086,8F13084
__import__.stock_production_lot_17K274_2951515,2020-10-31 00:00:00,824,__import__.product_2951515,17K274
__import__.stock_production_lot_98301_2954444,2019-07-31 00:00:00,505,__import__.product_2954444,98301
__import__.stock_production_lot_I33342I_2959773,2020-08-31 00:00:00,409,__import__.product_2959773,I33342I
__import__.stock_production_lot_L33513C_2959773,2020-12-31 00:00:00,763,__import__.product_2959773,L33513C
__import__.stock_production_lot_51B1_2972297,2019-10-31 00:00:00,325,__import__.product_2972297,51B1
__import__.stock_production_lot_A098A01_2976991,2019-09-30 00:00:00,115,__import__.product_2976991,A098A01
__import__.stock_production_lot_17264411_2997674,2020-05-31 00:00:00,319,__import__.product_2997674,17264411
__import__.stock_production_lot_3574130_2997674,2020-12-31 00:00:00,349,__import__.product_2997674,3574130
__import__.stock_production_lot_17L1413F2_3016003,2020-12-31 00:00:00,914,__import__.product_3016003,17L1413F2
__import__.stock_production_lot_17L022_3025855,2021-11-30 00:00:00,669,__import__.product_3025855,17L022
__import__.stock_production_lot_803801_3031986,2021-01-31 00:00:00,134,__import__.product_3031986,803801
__import__.stock_production_lot_852236_3032885,2020-10-31 00:00:00,838,__import__.product_3032885,852236
__import__.stock_production_lot_1711488_3033123,2020-11-30 00:00:00,567,__import__.product_3033123,1711488
__import__.stock_production_lot_LE7861771_3038825,2021-05-31 00:00:00,290,__import__.product_3038825,LE7861771
__import__.stock_production_lot_LE7992642_3038825,2021-06-30 00:00:00,981,__import__.product_3038825,LE7992642
__import__.stock_production_lot_18B13121_3041282,2021-02-28 00:00:00,590,__import__.product_3041282,18B13121
__import__.stock_production_lot_16L225_3052990,2018-11-30 00:00:00,278,__import__.product_3052990,16L225
__import__.stock_production_lot_7C2892C_3074440,2019-10-12 00:00:00,882,__import__.product_3074440,7C2892C
__import__.stock_production_lot_7C2895M_3074440,2019-10-31 00:00:00,804,__import__.product_3074440,7C2895M
__import__.stock_production_lot_8F00731_3086147,2020-01-31 00:00:00,124,__import__.product_3086147,8F00731
__import__.stock_production_lot_8F09181_3086147,2020-03-31 00:00:00,455,__import__.product_3086147,8F09181
__import__.stock_production_lot_246438_3091576,2019-07-31 00:00:00,790,__import__.product_3091576,246438
__import__.stock_production_lot_U049A02_3103801,2019-10-31 00:00:00,295,__import__.product_3103801,U049A02
__import__.stock_production_lot_U779A01_3103819,2020-02-28 00:00:00,398,__import__.product_3103819,U779A01
__import__.stock_production_lot_U780A01_3103819,2020-02-28 00:00:00,410,__import__.product_3103819,U780A01
__import__.stock_production_lot_U716A01_3103850,2019-12-31 00:00:00,231,__import__.product_3103850,U716A01
__import__.stock_production_lot_U717A01_3103850,2019-12-31 00:00:00,650,__import__.product_3103850,U717A01
__import__.stock_production_lot_U175A01_3103884,2019-04-30 00:00:00,406,__import__.product_3103884,U175A01
__import__.stock_production_lot_U189A02_3103884,2019-07-31 00:00:00,466,__import__.product_3103884,U189A02
__import__.stock_production_lot_U213A01_3103892,2019-08-31 00:00:00,432,__import__.product_3103892,U213A01
__import__.stock_production_lot_SC0104_3109634,2019-03-31 00:00:00,437,__import__.product_3109634,SC0104
__import__.stock_production_lot_CER008ABB_3113412,2019-06-30 00:00:00,750,__import__.product_3113412,CER008ABB
__import__.stock_production_lot_CER014ABB_3113412,2019-09-30 00:00:00,289,__import__.product_3113412,CER014ABB
__import__.stock_production_lot_LE7525222_3127958,2019-12-31 00:00:00,813,__import__.product_3127958,LE7525222
__import__.stock_production_lot_AA1980RB_3129657,2020-03-31 00:00:00,333,__import__.product_3129657,AA1980RB
__import__.stock_production_lot_AA2063RA_3129723,2020-04-30 00:00:00,755,__import__.product_3129723,AA2063RA
__import__.stock_production_lot_3002500_3164605,2020-12-31 00:00:00,810,__import__.product_3164605,3002500
__import__.stock_production_lot_6MT4A_3237740,2020-10-31 00:00:00,204,__import__.product_3237740,6MT4A
__import__.stock_production_lot_6UG5C_3237740,2021-02-28 00:00:00,934,__import__.product_3237740,6UG5C
__import__.stock_production_lot_6SJXG_3237765,2021-01-31 00:00:00,396,__import__.product_3237765,6SJXG
__import__.stock_production_lot_D34223_3254588,2019-08-31 00:00:00,658,__import__.product_3254588,D34223
__import__.stock_production_lot_D34224_3254588,2019-08-31 00:00:00,749,__import__.product_3254588,D34224
__import__.stock_production_lot_280219_3265295,2019-02-28 00:00:00,231,__import__.product_3265295,280219
__import__.stock_production_lot_300619_3265295,2019-06-30 00:00:00,243,__import__.product_3265295,300619
__import__.stock_production_lot_310719_3265295,2019-07-31 00:00:00,277,__import__.product_3265295,310719
__import__.stock_production_lot_310819_3265295,2019-08-31 00:00:00,511,__import__.product_3265295,310819
__import__.stock_production_lot_310819_3265709,2019-08-31 00:00:00,738,__import__.product_3265709,310819
__import__.stock_production_lot_280219_3265725,2019-02-28 00:00:00,426,__import__.product_3265725,280219
__import__.stock_production_lot_310819_3265725,2019-08-31 00:00:00,596,__import__.product_3265725,310819
__import__.stock_production_lot_300619_3288000,2019-06-30 00:00:00,626,__import__.product_3288000,300619
__import__.stock_production_lot_D710131703_3392768,2020-01-31 00:00:00,222,__import__.product_3392768,D710131703
__import__.stock_production_lot_208991A_3410222,2019-06-30 00:00:00,434,__import__.product_3410222,208991A
__import__.stock_production_lot_L448726_3424371,2019-03-31 00:00:00,443,__import__.product_3424371,L448726
__import__.stock_production_lot_L453435_3424371,2019-11-02 00:00:00,677,__import__.product_3424371,L453435
__import__.stock_production_lot_6HLU_3427317,2020-08-31 00:00:00,914,__import__.product_3427317,6HLU
__import__.stock_production_lot_6S26_3427317,2023-01-31 00:00:00,615,__import__.product_3427317,6S26
__import__.stock_production_lot_597F7CA_3433869,2019-11-30 00:00:00,444,__import__.product_3433869,597F7CA
__import__.stock_production_lot_805H7CB_3433869,2020-01-31 00:00:00,353,__import__.product_3433869,805H7CB
__import__.stock_production_lot_345C8AA_3433968,2020-09-30 00:00:00,216,__import__.product_3433968,345C8AA
__import__.stock_production_lot_642603_3434453,2019-10-31 00:00:00,431,__import__.product_3434453,642603
__import__.stock_production_lot_310120_4007024,2020-01-31 00:00:00,680,__import__.product_4007024,310120
__import__.stock_production_lot_310120_4008021,2020-01-31 00:00:00,156,__import__.product_4008021,310120
__import__.stock_production_lot_300619_4110003,2019-06-30 00:00:00,597,__import__.product_4110003,300619
__import__.stock_production_lot_311219_4110003,2019-12-31 00:00:00,279,__import__.product_4110003,311219
__import__.stock_production_lot_280220_4120182,2020-02-28 00:00:00,537,__import__.product_4120182,280220
__import__.stock_production_lot_311219_4120182,2019-12-31 00:00:00,638,__import__.product_4120182,311219
__import__.stock_production_lot_301119_4150104,2019-11-30 00:00:00,666,__import__.product_4150104,301119
__import__.stock_production_lot_311019_4150104,2019-10-31 00:00:00,551,__import__.product_4150104,311019
__import__.stock_production_lot_311219_4150104,2019-12-31 00:00:00,351,__import__.product_4150104,311219
__import__.stock_production_lot_300819_4160103,2019-08-30 00:00:00,136,__import__.product_4160103,300819
__import__.stock_production_lot_310120_4160103,2020-01-31 00:00:00,365,__import__.product_4160103,310120
__import__.stock_production_lot_311218_4160103,2018-12-31 00:00:00,994,__import__.product_4160103,311218
__import__.stock_production_lot_300619_4210103,2019-06-30 00:00:00,479,__import__.product_4210103,300619
__import__.stock_production_lot_310519_4210103,2019-05-31 00:00:00,378,__import__.product_4210103,310519
__import__.stock_production_lot_310719_4210103,2019-07-31 00:00:00,178,__import__.product_4210103,310719
__import__.stock_production_lot_310819_4210103,2019-08-31 00:00:00,640,__import__.product_4210103,310819
__import__.stock_production_lot_300420_4210130,2020-04-30 00:00:00,934,__import__.product_4210130,300420
__import__.stock_production_lot_310320_4210130,2020-03-31 00:00:00,633,__import__.product_4210130,310320
__import__.stock_production_lot_310819_4220107,2019-08-31 00:00:00,350,__import__.product_4220107,310819
__import__.stock_production_lot_311019_4220107,2019-10-31 00:00:00,950,__import__.product_4220107,311019
__import__.stock_production_lot_311219_4220107,2019-12-31 00:00:00,257,__import__.product_4220107,311219
