id,width,length,depth,weight
__import__.product_5147764,0,0,0,0
__import__.product_5147768,0,0,0,0
__import__.product_5147772,0,0,0,0
__import__.product_5147778,0,0,0,0
__import__.product_5147914,0,0,0,0
__import__.product_5147924,0,0,0,0
__import__.product_5147933,0,0,0,0
__import__.product_5147934,0,0,0,0
__import__.product_5147936,0,0,0,0
__import__.product_5147942,0,0,0,0
__import__.product_5147943,0,0,0,0
__import__.product_5147951,0,0,0,0
__import__.product_5147953,0,0,0,0
__import__.product_5147954,0,0,0,0
__import__.product_5147956,0,0,0,0
__import__.product_5147963,0,0,0,0
__import__.product_5147964,0,0,0,0
__import__.product_5147966,0,0,0,0
__import__.product_5147972,0,0,0,0
__import__.product_5147974,0,0,0,0
__import__.product_5147975,0,0,0,0
__import__.product_5147976,0,0,0,0
__import__.product_5148502,0,0,0,0
__import__.product_5148736,0,0,0,0
__import__.product_5150001,0,0,0,0
__import__.product_5150002,0,0,0,0
__import__.product_5150003,0,0,0,0
__import__.product_5150004,0,0,0,0
__import__.product_5150005,0,0,0,0
__import__.product_5150006,0,0,0,0
__import__.product_5151515,0,0,0,0
__import__.product_5155804,0,0,0,0
__import__.product_5157392,0,0,0,0
__import__.product_5157395,0,0,0,0
__import__.product_5157397,0,0,0,0
__import__.product_5157398,0,0,0,0
__import__.product_5157728,0,0,0,0
__import__.product_5158548,0,0,0,0
__import__.product_5160622,0,0,0,0
__import__.product_5160742,0,0,0,0
__import__.product_5160743,0,0,0,0
__import__.product_5163630,0,0,0,0
__import__.product_5164810,0,0,0,0
__import__.product_5164820,0,0,0,0
__import__.product_5164940,0,0,0,0
__import__.product_5166000,0,0,0,2.5
__import__.product_5166100,0,0,0,2.5
__import__.product_5166110,0,0,0,10
__import__.product_5170003,8.5,17.2,4.3,0.16
__import__.product_5170045,0,0,0,0
__import__.product_5170100,0,0,0,0
__import__.product_5170107,0,0,0,0
__import__.product_5170109,0,0,0,0
__import__.product_5170215,0,0,0,0
__import__.product_5170251,0,0,0,0
__import__.product_5170255,0,0,0,0
__import__.product_5170367,0,0,0,0
