id,width,length,depth,weight
__import__.product_2650471,19.6,3.7,2.7,0.04
__import__.product_2650497,5.2,23.3,3,0.08
__import__.product_2655116,4.1,4.1,17.9,0.14
__import__.product_2655124,5.5,5.5,12,0.53
__import__.product_2665297,0,0,0,0.15
__import__.product_2679157,12,7,19,0.19
__import__.product_2695443,0,0,0,1
__import__.product_2716843,5.3,5.3,13.1,0.23
__import__.product_2717338,10,10,18.5,0.9
__import__.product_2726370,4.2,4,17,0.16
__import__.product_2736122,4,4,10.9,0.02
__import__.product_2747632,2.7,5,24.5,0.04
__import__.product_2764116,10.4,19.6,2.2,0.04
__import__.product_2764124,10.4,19.5,2.4,0.06
__import__.product_2768026,13.3,19.4,1.5,0.11
__import__.product_2778298,4,4,12.5,0.05
__import__.product_2792133,4.3,3.9,7.6,0.05
__import__.product_2792141,3.4,3,7.2,0.04
__import__.product_2853273,14.5,7,25.5,1.24
__import__.product_2853281,4.5,10,7.5,0.34
__import__.product_2854834,5.1,5.1,23.3,0.33
__import__.product_2975761,0,0,0,0.5
__import__.product_2975795,0,0,0,2.04
__import__.product_2975803,0,0,0,10
__import__.product_2975837,0,0,0,0.25
__import__.product_2976215,0,0,0,0.5
__import__.product_2977189,0,0,0,0
__import__.product_2977254,0,0,0,0.25
__import__.product_2977650,0,0,0,3
__import__.product_2977676,0,0,0,9.6
__import__.product_2977684,0,0,0,3
__import__.product_2977718,0,0,0,3
__import__.product_3023546,0,0,0,0
__import__.product_3023561,0,0,0,0
__import__.product_3035231,0,0,0,0
__import__.product_3309564,0,0,0,0.03
__import__.product_3426996,0,0,0,1
__import__.product_3427002,0,0,0,2.5
__import__.product_3434453,0,0,0,0
__import__.product_3532800,20,27,9.8,1.55
__import__.product_3573416,10.5,10.5,19,0.95
__import__.product_3738655,8,11,4.5,0.1
__import__.product_4064007,0,0,0,0
__import__.product_4064009,0,0,0,0
__import__.product_4110000,0,0,0,0
__import__.product_4332615,0,0,0,0
__import__.product_4337541,0,0,0,0
__import__.product_4527460,0,0,0,0
__import__.product_4550560,0,0,0,0
__import__.product_4610250,0,0,0,0
__import__.product_4610267,0,0,0,0
__import__.product_4629976,10,10,20.5,0.72
__import__.product_4634285,0,0,0,0
__import__.product_4790105,0,0,0,0
__import__.product_4790335,0,0,0,0
__import__.product_4901407,0,0,0,0
__import__.product_4910036,0,0,0,0
__import__.product_4910046,0,0,0,0
__import__.product_4910047,0,0,0,0
__import__.product_4910101,0,0,0,0
__import__.product_4930040,0,0,0,0
__import__.product_4950043,0,0,0,0
__import__.product_4960043,0,0,0,0
__import__.product_4970045,0,0,0,0
__import__.product_4980044,0,0,0,0
__import__.product_5000007,0,0,0,0
__import__.product_5001003,0,0,0,0
__import__.product_5001005,0,0,0,0
__import__.product_5001064,0,0,0,0
__import__.product_5002003,0,0,0,0
__import__.product_5002122,0,0,0,0
__import__.product_5002310,0,0,0,0
__import__.product_5002311,0,0,0,0
__import__.product_5002392,0,0,0,0
__import__.product_5006131,0,0,0,0
__import__.product_5006135,0,0,0,0
__import__.product_5006141,0,0,0,0
__import__.product_5006143,0,0,0,0
__import__.product_5006458,0,0,0,0
__import__.product_5007110,0,0,0,0
__import__.product_5007111,0,0,0,0
__import__.product_5007146,0,0,0,0
__import__.product_5007147,0,0,0,0
__import__.product_5007183,0,0,0,0
__import__.product_5008115,0,0,0,0
__import__.product_5010200,0,0,0,0
__import__.product_5010210,0,0,0,0
__import__.product_5010211,0,0,0,0
__import__.product_5010552,0,0,0,0
__import__.product_5010603,0,0,0,0
__import__.product_5010761,0,0,0,0
__import__.product_5011732,0,0,0,0
__import__.product_5011734,0,0,0,0
__import__.product_5011736,0,0,0,0
__import__.product_5011842,0,0,0,0
__import__.product_5012616,0,0,0,0
__import__.product_5013217,0,0,0,0
__import__.product_5014302,0,0,0,0
__import__.product_5018557,0,0,0,0
__import__.product_5018869,0,0,0,0
__import__.product_5018870,0,0,0,0
__import__.product_5018894,0,0,0,0
__import__.product_5020000,0,0,0,0
__import__.product_5020003,0,0,0,0
__import__.product_5020015,0,0,0,0
__import__.product_5021023,0,0,0,0
__import__.product_5021024,0,0,0,0
__import__.product_5021025,0,0,0,0
__import__.product_5021516,0,0,0,0
__import__.product_5021621,0,0,0,0
__import__.product_5022901,0,0,0,0
__import__.product_5025100,0,0,0,0
__import__.product_5025320,0,0,0,0
__import__.product_5025329,0,0,0,0
__import__.product_5027165,0,0,0,0
__import__.product_5027301,0,0,0,0
__import__.product_5027525,0,0,0,0
__import__.product_5027601,0,0,0,0
__import__.product_5027815,0,0,0,0
__import__.product_5028140,0,0,0,0
__import__.product_5031110,0,0,0,0
__import__.product_5031111,0,0,0,0
__import__.product_5031739,0,0,0,0
__import__.product_5032136,0,0,0,0
__import__.product_5032154,0,0,0,0
__import__.product_5032400,0,0,0,0
__import__.product_5033090,0,0,0,0
__import__.product_5033091,0,0,0,0
__import__.product_5033092,0,0,0,0
__import__.product_5033093,0,0,0,0
__import__.product_5033094,0,0,0,0
__import__.product_5033095,0,0,0,0
__import__.product_5033096,0,0,0,0
__import__.product_5035230,0,0,0,0
