id,standard_price
__import__.product_0081638,36.76
__import__.product_0081646,4.8
__import__.product_0081653,5.65
__import__.product_0082420,16.48
__import__.product_0082768,2.64
__import__.product_0082966,3.06
__import__.product_0082982,0
__import__.product_0083063,3.09
__import__.product_0083105,2.2
__import__.product_0083253,74.62
__import__.product_0083451,9.1
__import__.product_0083725,3.4
__import__.product_0083774,7.69
__import__.product_0083824,5.09
__import__.product_0083873,34.59
__import__.product_0084541,20.85
__import__.product_0084665,7.24
__import__.product_0084715,6.69
__import__.product_0084798,1.3
__import__.product_0085050,1.88
__import__.product_0085308,6.73
__import__.product_0085340,15.93
__import__.product_0085415,31.01
__import__.product_0085456,22.9
__import__.product_0085662,5.55
__import__.product_0086058,4.62
__import__.product_0086132,7.83
__import__.product_0086280,0
__import__.product_0086405,6.58
__import__.product_0086595,5.24
__import__.product_0086629,2.72
__import__.product_0086769,3.1
__import__.product_0088286,1.44
__import__.product_0088625,3.02
__import__.product_0088633,1.24
__import__.product_0088740,40.86
__import__.product_0088773,5.96
__import__.product_0089060,11.05
__import__.product_0089500,2.95
__import__.product_0089748,3.7
__import__.product_0089821,4.83
__import__.product_0089839,13.6
__import__.product_0089847,5.06
__import__.product_0089946,15.6
__import__.product_0090225,4.96
__import__.product_0090233,0
__import__.product_0090308,2.78
__import__.product_0090605,4.64
__import__.product_0090878,6.27
__import__.product_0090936,0
__import__.product_0091090,6.41
__import__.product_0091488,3.66
__import__.product_0091736,5.82
__import__.product_0092247,3.08
__import__.product_0092528,1.54
__import__.product_0092569,4.44
__import__.product_0093013,6.58
__import__.product_0093120,3.98
__import__.product_0093138,13.63
__import__.product_0093203,6.21
__import__.product_0093492,15.12
__import__.product_0093807,24.86
__import__.product_0093963,4.66
__import__.product_0094045,2.65
__import__.product_0094052,3.71
__import__.product_0094086,3.65
__import__.product_0094144,1.95
__import__.product_0094169,1.19
__import__.product_0094359,3.69
__import__.product_0094672,0
__import__.product_0094987,2.28
__import__.product_0095091,2.55
__import__.product_0095412,6.82
__import__.product_0095687,3.16
__import__.product_0095695,18.41
__import__.product_0095703,9.7
__import__.product_0095851,3.39
__import__.product_0096271,2.54
__import__.product_0097287,1.04
__import__.product_0097519,3.25
__import__.product_0097576,3.77
__import__.product_0097857,35.6
__import__.product_0097899,14.87
__import__.product_0097915,2.81
__import__.product_0098178,4.4
__import__.product_0098194,7.16
__import__.product_0098467,9.93
__import__.product_0098574,3.62
__import__.product_0098624,2.9
__import__.product_0098640,3.45
__import__.product_0098657,1.92
__import__.product_0098855,6.05
__import__.product_0099267,2.43
__import__.product_0099457,5.43
__import__.product_0099549,8.12
__import__.product_0099820,2.36
__import__.product_0099846,1.9
__import__.product_0099853,0
__import__.product_0099895,0
__import__.product_0099903,5.78
__import__.product_0100115,2.16
__import__.product_0100123,5.65
__import__.product_0100529,1.44
__import__.product_0100685,1.75
__import__.product_0100727,4.89
__import__.product_0100974,6.41
__import__.product_0101010,1.98
__import__.product_0101618,0
__import__.product_0101782,4.18
__import__.product_0102012,1.92
__import__.product_0102053,0
__import__.product_0102178,2.77
__import__.product_0102376,0
__import__.product_0102384,3.77
__import__.product_0102392,0.96
__import__.product_0102400,2.13
__import__.product_0102426,2.16
__import__.product_0102566,4.03
__import__.product_0102640,0.93
__import__.product_0102749,6.97
__import__.product_0102780,2.26
__import__.product_0102814,3.02
__import__.product_0103000,2.5
__import__.product_0103176,10.52
__import__.product_0103184,3.2
__import__.product_0103275,0
__import__.product_0103416,1.22
__import__.product_0103424,2.58
__import__.product_0103614,1.37
__import__.product_0103929,2.26
__import__.product_0104042,4.3
__import__.product_0104109,0
__import__.product_0104299,17.29
__import__.product_0104745,3.32
__import__.product_0104760,2.89
__import__.product_0104786,1.83
