id,width,depth,length,default_code
__import__.product_0113969,0,0,0,0113969
__import__.product_0114397,0,0,0,0114397
__import__.product_0114421,0,0,0,0114421
__import__.product_0114462,0,0,0,0114462
__import__.product_0114611,0,0,0,0114611
__import__.product_0114835,0,0,0,0114835
__import__.product_0114892,0,0,0,0114892
__import__.product_0115055,0,0,0,0115055
__import__.product_0115071,0,0,0,0115071
__import__.product_0115121,5.20,9.70,5.20,0115121
__import__.product_0115196,0,0,0,0115196
__import__.product_0115246,5.20,9.80,5.20,0115246
__import__.product_0115300,0,0,0,0115300
__import__.product_0115352,0,0,0,0115352
__import__.product_0115808,0,0,0,0115808
__import__.product_0115816,0,0,0,0115816
__import__.product_0115899,0,0,0,0115899
__import__.product_0115949,0,0,0,0115949
__import__.product_0116236,0,0,0,0116236
__import__.product_0117028,0,0,0,0117028
__import__.product_0117094,0,0,0,0117094
__import__.product_0117333,0,0,0,0117333
__import__.product_0117564,0,0,0,0117564
__import__.product_0117572,0,0,0,0117572
__import__.product_0117580,0,0,0,0117580
__import__.product_0117598,0,0,0,0117598
__import__.product_0118067,4.90,3.30,4.90,0118067
__import__.product_0118091,12.10,6.10,24.20,0118091
__import__.product_0118422,0,0,0,0118422
__import__.product_0118500,0,0,0,0118500
__import__.product_0118570,0,0,0,0118570
__import__.product_0118703,0,0,0,0118703
__import__.product_0119172,0,0,0,0119172
__import__.product_0119180,0,0,0,0119180
__import__.product_0119198,0,0,0,0119198
__import__.product_0119677,0,0,0,0119677
__import__.product_0119735,0,0,0,0119735
__import__.product_0119800,0,0,0,0119800
__import__.product_0119801,0,0,0,0119801
__import__.product_0119958,0,0,0,0119958
__import__.product_0120202,0,0,0,0120202
__import__.product_0120485,0,0,0,0120485
__import__.product_0120675,0,0,0,0120675
__import__.product_0121228,0,0,0,0121228
__import__.product_0121426,0,0,0,0121426
__import__.product_0121491,0,0,0,0121491
__import__.product_0122143,0,0,0,0122143
__import__.product_0122150,0,0,0,0122150
__import__.product_0122275,0,0,0,0122275
__import__.product_0122283,0,0,0,0122283
__import__.product_0122762,0,0,0,0122762
__import__.product_0122994,0,0,0,0122994
__import__.product_0123042,0,0,0,0123042
__import__.product_0123851,0,0,0,0123851
__import__.product_0124412,0,0,0,0124412
__import__.product_0124520,0,0,0,0124520
__import__.product_0124594,0,0,0,0124594
__import__.product_0124644,0,0,0,0124644
__import__.product_0124792,0,0,0,0124792
__import__.product_0124867,0,0,0,0124867
__import__.product_0125000,0,0,0,0125000
__import__.product_0125112,0,0,0,0125112
