id,property_account_payable_id/id
__import__.supplier_65500,__setup__.account_440000
__import__.supplier_65655,__setup__.account_440100
__import__.supplier_66000,__setup__.account_440100
__import__.supplier_66001,__setup__.account_440100
__import__.supplier_66002,__setup__.account_440100
__import__.supplier_66005,__setup__.account_440100
__import__.supplier_66006,__setup__.account_440000
__import__.supplier_66007,__setup__.account_440100
__import__.supplier_66008,__setup__.account_440000
__import__.supplier_66009,__setup__.account_440100
__import__.supplier_66010,__setup__.account_440100
__import__.supplier_66011,__setup__.account_440000
__import__.supplier_66012,__setup__.account_440000
__import__.supplier_66013,__setup__.account_440000
__import__.supplier_66015,__setup__.account_440100
__import__.supplier_66016,__setup__.account_440000
__import__.supplier_66017,__setup__.account_440000
__import__.supplier_66020,__setup__.account_440000
__import__.supplier_66025,__setup__.account_440100
__import__.supplier_66035,__setup__.account_440000
__import__.supplier_66040,__setup__.account_440000
__import__.supplier_66050,__setup__.account_440000
__import__.supplier_66055,__setup__.account_440100
__import__.supplier_66060,__setup__.account_440100
__import__.supplier_66065,__setup__.account_440000
__import__.supplier_66070,__setup__.account_440100
__import__.supplier_66075,__setup__.account_440100
__import__.supplier_66080,__setup__.account_440100
__import__.supplier_66085,__setup__.account_440000
__import__.supplier_66090,__setup__.account_440100
__import__.supplier_66095,__setup__.account_440100
__import__.supplier_66100,__setup__.account_440100
__import__.supplier_66102,__setup__.account_440000
__import__.supplier_66105,__setup__.account_440100
__import__.supplier_66108,__setup__.account_440000
__import__.supplier_66110,__setup__.account_440100
__import__.supplier_66115,__setup__.account_440000
__import__.supplier_66120,__setup__.account_440000
__import__.supplier_66150,__setup__.account_440000
__import__.supplier_66155,__setup__.account_440000
__import__.supplier_66160,__setup__.account_440100
__import__.supplier_66168,__setup__.account_440000
__import__.supplier_66180,__setup__.account_440100
__import__.supplier_66182,__setup__.account_440000
__import__.supplier_66185,__setup__.account_440000
__import__.supplier_66186,__setup__.account_440000
__import__.supplier_66200,__setup__.account_440000
__import__.supplier_66245,__setup__.account_440000
__import__.supplier_66248,__setup__.account_440000
__import__.supplier_66249,__setup__.account_440000
__import__.supplier_66250,__setup__.account_440000
__import__.supplier_66255,__setup__.account_440000
__import__.supplier_66258,__setup__.account_440000
__import__.supplier_66260,__setup__.account_440000
__import__.supplier_66265,__setup__.account_440100
__import__.supplier_66270,__setup__.account_440100
__import__.supplier_66280,__setup__.account_440000
__import__.supplier_66288,__setup__.account_440000
__import__.supplier_66290,__setup__.account_440100
__import__.supplier_66300,__setup__.account_440000
__import__.supplier_66310,__setup__.account_440000
__import__.supplier_66350,__setup__.account_440100
__import__.supplier_66400,__setup__.account_440000
__import__.supplier_66410,__setup__.account_440100
__import__.supplier_66440,__setup__.account_440100
__import__.supplier_66445,__setup__.account_440000
__import__.supplier_66450,__setup__.account_440100
__import__.supplier_66455,__setup__.account_440100
__import__.supplier_66460,__setup__.account_440100
__import__.supplier_66465,__setup__.account_440100
__import__.supplier_66500,__setup__.account_440000
__import__.supplier_66550,__setup__.account_440000
__import__.supplier_66600,__setup__.account_440000
__import__.supplier_66666,__setup__.account_440000
__import__.supplier_66700,__setup__.account_440000
__import__.supplier_66705,__setup__.account_440000
__import__.supplier_66710,__setup__.account_440100
__import__.supplier_66720,__setup__.account_440100
