id,length,width,depth,list_price,indicated_price
__import__.product_8098317,0,0,0,310.00,543.90
__import__.product_8098760,0,0,0,22.90,35.20
__import__.product_8135231,0,0,0,81.00,124.50
__import__.product_8217210,0,0,0,23.20,40.70
__import__.product_8235000,0,0,0,32.00,55.30
__import__.product_8238675,0,0,0,2.80,4.30
__import__.product_8270219,0,0,0,4.50,7.90
__import__.product_8270221,0,0,0,4.50,7.90
__import__.product_8270222,0,0,0,4.50,7.90
__import__.product_8270250,0,0,0,11.80,20.70
__import__.product_8290428,0,0,0,19.50,25.00
__import__.product_8330091,20.00,6.50,31.50,41.00,80.00
__import__.product_8331966,11.50,11.50,17.00,16.30,28.60
__import__.product_8336030,0,0,0,7154.80,12553.10
__import__.product_8381728,0,0,0,10.60,18.60
__import__.product_8431337,0,0,0,30.60,37.40
__import__.product_8467080,0,0,0,27.30,47.90
__import__.product_84801200,0,0,0,785.00,785.00
__import__.product_9392012,0,0,0,5.00,5.00
__import__.product_9928105,0,0,0,6.20,6.20
