id,price,product_code
__import__.supplierinfo_79192-8215355,77.70,04362
__import__.supplierinfo_79192-8228694,28.00,04445
__import__.supplierinfo_79192-8228702,33.55,04446
__import__.supplierinfo_79192-8228719,28.00,04447
__import__.supplierinfo_79192-8228725,33.55,04462
__import__.supplierinfo_79192-8228731,33.55,04463
__import__.supplierinfo_79192-8228748,33.55,04448
__import__.supplierinfo_79192-8228760,10.70,04175
__import__.supplierinfo_79192-8229819,17.80,02745
__import__.supplierinfo_79192-8231880,66.71,04523
__import__.supplierinfo_79192-8231897,69.93,04524
__import__.supplierinfo_79192-8231905,72.31,04525
__import__.supplierinfo_79192-8231911,74.13,04526
__import__.supplierinfo_79192-8231928,74.98,04527
__import__.supplierinfo_79192-8231934,77.78,04528
__import__.supplierinfo_79192-8231940,82.03,04529
__import__.supplierinfo_79192-8231957,85.57,04530
__import__.supplierinfo_79192-8231963,88.41,04531
__import__.supplierinfo_79192-8231986,63.64,04507
__import__.supplierinfo_79192-8231992,66.71,04508
__import__.supplierinfo_79192-8232000,67.76,04509
__import__.supplierinfo_79192-8232017,69.09,04510
__import__.supplierinfo_79192-8232023,70.42,04511
__import__.supplierinfo_79192-8232046,78.48,04512
__import__.supplierinfo_79192-8232052,77.35,04513
__import__.supplierinfo_79192-8232069,80.08,04514
__import__.supplierinfo_79192-8232075,81.48,04515
__import__.supplierinfo_79192-8232081,87.85,04516
__import__.supplierinfo_79192-8232098,91.35,04517
__import__.supplierinfo_79192-8232106,94.29,04518
__import__.supplierinfo_79192-8232112,98.41,04519
__import__.supplierinfo_79192-8232129,106.07,04520
__import__.supplierinfo_79192-8232135,112.43,04521
__import__.supplierinfo_79192-8233152,33.55,04457
__import__.supplierinfo_79192-8233554,6.10,03196
__import__.supplierinfo_79192-8233910,15.68,02311
__import__.supplierinfo_79192-8240896,36.05,02514
__import__.supplierinfo_79192-8240962,11.20,04907
__import__.supplierinfo_79192-8240979,13.82,04908
__import__.supplierinfo_79192-8240985,10.88,04906
__import__.supplierinfo_79192-8252830,37.85,03629
__import__.supplierinfo_79192-8252847,40.10,03630
__import__.supplierinfo_79192-8252853,42.30,03631
__import__.supplierinfo_79192-8252876,45.01,03819
__import__.supplierinfo_79192-8280565,66.25,07150
__import__.supplierinfo_79192-8280571,67.55,07151
__import__.supplierinfo_79192-8280588,69.37,07152
__import__.supplierinfo_79192-8280594,72.45,07153
__import__.supplierinfo_79192-8280602,74.96,07154
__import__.supplierinfo_79192-8280619,77.85,07155
__import__.supplierinfo_79192-8280625,88.47,07156
__import__.supplierinfo_79192-8280631,66.25,07160
__import__.supplierinfo_79192-8280648,67.55,07161
__import__.supplierinfo_79192-8280654,69.37,07162
__import__.supplierinfo_79192-8280660,72.45,07163
__import__.supplierinfo_79192-8280677,74.96,07164
__import__.supplierinfo_79192-8280683,77.85,07165
__import__.supplierinfo_79192-8280708,82.03,07166
__import__.supplierinfo_79192-8280714,85.57,07167
__import__.supplierinfo_79192-8280720,88.47,07168
__import__.supplierinfo_79192-8352422,4.10,01033
__import__.supplierinfo_79192-8356239,14.90,01199
__import__.supplierinfo_79192-8356245,33.55,01148
__import__.supplierinfo_79192-8356251,33.55,01145
__import__.supplierinfo_79192-8358787,15.45,01165
__import__.supplierinfo_79192-8358793,15.45,01166
__import__.supplierinfo_79192-8358801,19.70,01167
__import__.supplierinfo_79192-8358818,96.95,01313
__import__.supplierinfo_79192-8368136,21.80,01922
__import__.supplierinfo_79192-8368142,26.90,01935
__import__.supplierinfo_79192-8368159,63.70,01789
__import__.supplierinfo_79192-8368165,73.25,01791
__import__.supplierinfo_79192-8368171,73.25,01790
__import__.supplierinfo_79192-8368188,74.75,01687
__import__.supplierinfo_79192-8368219,53.75,01925
__import__.supplierinfo_79192-8368225,53.75,01924
__import__.supplierinfo_79192-8368231,53.75,01926
__import__.supplierinfo_79192-8368248,59.15,02162
__import__.supplierinfo_79192-8368254,25.00,01901
__import__.supplierinfo_79192-8368308,43.10,02056
__import__.supplierinfo_79192-8368314,43.10,02058
__import__.supplierinfo_79192-8368320,43.10,02057
__import__.supplierinfo_79192-8368372,28.65,01912
__import__.supplierinfo_79192-8368389,28.65,01913
__import__.supplierinfo_79192-8368395,28.65,01914
__import__.supplierinfo_79192-8368403,9.00,02051
__import__.supplierinfo_79192-8368426,9.85,02052
__import__.supplierinfo_79192-8368432,9.00,02053
__import__.supplierinfo_79192-8368449,9.85,02054
__import__.supplierinfo_79192-8368455,10.90,02055
__import__.supplierinfo_79192-8368461,67.60,02066
__import__.supplierinfo_79192-8368478,67.60,01022
__import__.supplierinfo_79192-8368484,67.60,02067
__import__.supplierinfo_79192-8368490,67.60,01023
__import__.supplierinfo_79192-8368521,120.35,01902
__import__.supplierinfo_79192-8368538,120.35,01903
__import__.supplierinfo_79192-8368544,120.35,01904
__import__.supplierinfo_79192-8368550,120.35,01905
__import__.supplierinfo_79192-8368610,25.90,02062
__import__.supplierinfo_79192-8368627,165.50,02049
__import__.supplierinfo_79192-8368633,165.50,01020
__import__.supplierinfo_79192-8368656,165.50,02050
__import__.supplierinfo_79192-8368685,10.00,02034
__import__.supplierinfo_79192-8368691,13.65,02043
__import__.supplierinfo_79192-8368745,10.00,02035
__import__.supplierinfo_79192-8368751,13.65,02044
__import__.supplierinfo_79192-8368805,10.00,02036
__import__.supplierinfo_79192-8368811,13.65,01018
__import__.supplierinfo_79192-8368834,10.00,02037
__import__.supplierinfo_79192-8368840,13.65,01019
__import__.supplierinfo_79192-8368886,13.65,SE2039
__import__.supplierinfo_79192-8368892,10.00,02038
__import__.supplierinfo_79192-8368900,13.65,02045
__import__.supplierinfo_79192-8368923,10.00,02039
__import__.supplierinfo_79192-8368946,13.65,02046
__import__.supplierinfo_79192-8368975,13.65,02040
__import__.supplierinfo_79192-8368981,13.65,02047
__import__.supplierinfo_79192-8369029,10.00,02042
__import__.supplierinfo_79192-8369035,13.65,02048
__import__.supplierinfo_79192-8369064,13.65,0367
__import__.supplierinfo_79192-8369070,8.45,01981
__import__.supplierinfo_79192-8369087,8.45,01984
__import__.supplierinfo_79192-8369093,47.50,01463
__import__.supplierinfo_79192-8369101,171.00,02061
__import__.supplierinfo_79192-8369130,162.40,02060
__import__.supplierinfo_79192-8369207,29.20,02134
__import__.supplierinfo_79192-8369213,29.20,02135
__import__.supplierinfo_79192-8369236,29.20,02136
__import__.supplierinfo_79192-8369242,29.20,02137
__import__.supplierinfo_79192-8369259,29.20,02138
__import__.supplierinfo_79192-8369265,29.20,02139
__import__.supplierinfo_79192-8369271,29.20,02140
__import__.supplierinfo_79192-8369288,29.20,02141
__import__.supplierinfo_79192-8369294,29.20,02142
__import__.supplierinfo_79192-8369302,29.20,02143
__import__.supplierinfo_79192-8369319,29.20,02144
__import__.supplierinfo_79192-8369325,29.20,02145
__import__.supplierinfo_79192-8369331,29.20,02146
__import__.supplierinfo_79192-8369348,29.20,02147
__import__.supplierinfo_79192-8369360,28.55,02151
__import__.supplierinfo_79192-8369377,31.70,02152
__import__.supplierinfo_79192-8369383,31.70,02153
__import__.supplierinfo_79192-8369408,34.85,02154
__import__.supplierinfo_79192-8369414,34.85,02155
__import__.supplierinfo_79192-8369437,38.00,02156
__import__.supplierinfo_79192-8369466,41.20,02157
__import__.supplierinfo_79192-8369489,44.35,02158
__import__.supplierinfo_79192-8369495,47.50,02159
__import__.supplierinfo_79192-8369590,34.45,02512
__import__.supplierinfo_79192-8369638,22.20,02451
__import__.supplierinfo_79192-8369667,17.50,01648
__import__.supplierinfo_79192-8369673,23.85,02111
__import__.supplierinfo_79192-8369696,18.30,01649
__import__.supplierinfo_79192-8369704,23.85,02112
__import__.supplierinfo_79192-8369710,19.05,01650
__import__.supplierinfo_79192-8369727,25.35,02113
__import__.supplierinfo_79192-8369733,19.80,01651
__import__.supplierinfo_79192-8369756,25.35,02114
__import__.supplierinfo_79192-8369762,20.70,01652
__import__.supplierinfo_79192-8369779,27.00,02115
__import__.supplierinfo_79192-8369785,27.00,02119
__import__.supplierinfo_79192-8369791,21.45,01653
__import__.supplierinfo_79192-8369816,31.70,02117
__import__.supplierinfo_79192-8369822,22.20,01654
__import__.supplierinfo_79192-8369839,31.70,02118
__import__.supplierinfo_79192-8369845,23.20,02450
__import__.supplierinfo_79192-8369851,23.85,01655
__import__.supplierinfo_79192-8369868,31.10,02116
__import__.supplierinfo_79192-8369874,20.70,01874
__import__.supplierinfo_79192-8369880,20.70,01875
__import__.supplierinfo_79192-8369897,20.70,01876
__import__.supplierinfo_79192-8369911,25.35,02120
__import__.supplierinfo_79192-8369928,20.70,02447
__import__.supplierinfo_79192-8369934,28.55,02121
__import__.supplierinfo_79192-8369940,20.70,02448
__import__.supplierinfo_79192-8369957,28.55,02122
__import__.supplierinfo_79192-8369963,31.70,02123
__import__.supplierinfo_79192-8369986,31.70,02124
__import__.supplierinfo_79192-8369992,36.50,02125
__import__.supplierinfo_79192-8370009,36.50,02126
__import__.supplierinfo_79192-8370015,41.20,02127
__import__.supplierinfo_79192-8370021,47.50,02128
__import__.supplierinfo_79192-8370038,53.85,02129
__import__.supplierinfo_79192-8370044,60.20,02130
__import__.supplierinfo_79192-8370050,7.10,01873
__import__.supplierinfo_79192-8370104,31.70,01852
__import__.supplierinfo_79192-8370110,31.70,02480
__import__.supplierinfo_79192-8370133,7.40,00637
__import__.supplierinfo_79192-8370156,8.70,02477
__import__.supplierinfo_79192-8370162,7.40,00636
__import__.supplierinfo_79192-8370179,8.70,02476
__import__.supplierinfo_79192-8370185,7.40,00639
__import__.supplierinfo_79192-8370191,11.55,02479
__import__.supplierinfo_79192-8370216,7.40,00638
__import__.supplierinfo_79192-8370222,11.55,02478
__import__.supplierinfo_79192-8370239,36.20,02108
__import__.supplierinfo_79192-8370245,37.65,02109
__import__.supplierinfo_79192-8370251,36.90,02110
__import__.supplierinfo_79192-8370268,30.15,02102
__import__.supplierinfo_79192-8370274,31.65,02103
__import__.supplierinfo_79192-8370280,31.65,02104
__import__.supplierinfo_79192-8370297,32.65,02105
__import__.supplierinfo_79192-8370305,32.65,02106
__import__.supplierinfo_79192-8370311,33.65,02107
__import__.supplierinfo_79192-8370334,25.35,00628
__import__.supplierinfo_79192-8370340,25.35,00630
__import__.supplierinfo_79192-8370417,24.15,03105
__import__.supplierinfo_79192-8370446,27.15,03106
__import__.supplierinfo_79192-8370452,30.20,03107
__import__.supplierinfo_79192-8370475,33.20,03108
__import__.supplierinfo_79192-8370481,36.20,03109
__import__.supplierinfo_79192-8370498,39.25,03110
__import__.supplierinfo_79192-8370512,45.30,03111
__import__.supplierinfo_79192-8370541,51.30,03112
__import__.supplierinfo_79192-8370564,57.35,02701
__import__.supplierinfo_79192-8370587,45.30,03104
__import__.supplierinfo_79192-8370593,63.35,02703
__import__.supplierinfo_79192-8370601,66.40,02704
__import__.supplierinfo_79192-8370630,60.35,02698
__import__.supplierinfo_79192-8370647,48.30,02696
__import__.supplierinfo_79192-8370653,54.30,02697
__import__.supplierinfo_79192-8370676,34.75,02612
__import__.supplierinfo_79192-8370682,23.65,01813
__import__.supplierinfo_79192-8370699,20.70,01822
__import__.supplierinfo_79192-8370707,44.15,01810
__import__.supplierinfo_79192-8370713,2365.00,01814
__import__.supplierinfo_79192-8370736,7.40,01823
__import__.supplierinfo_79192-8370742,23.65,01815
__import__.supplierinfo_79192-8370759,44.15,01808
__import__.supplierinfo_79192-8370765,23.65,01816
__import__.supplierinfo_79192-8370771,27.00,06081
__import__.supplierinfo_79192-8370788,27.00,06082
__import__.supplierinfo_79192-8370794,33.35,01817
__import__.supplierinfo_79192-8370802,33.35,01818
__import__.supplierinfo_79192-8370819,33.35,01819
__import__.supplierinfo_79192-8370825,38.80,02508
__import__.supplierinfo_79192-8370848,67.25,01917
__import__.supplierinfo_79192-8370854,67.25,01918
__import__.supplierinfo_79192-8370860,894.70,02065
__import__.supplierinfo_79192-8370877,3.20,02439
__import__.supplierinfo_79192-8370920,7.50,02441
__import__.supplierinfo_79192-8370937,7.50,02442
__import__.supplierinfo_79192-8370943,54.30,01774
__import__.supplierinfo_79192-8370966,43.70,01765
__import__.supplierinfo_79192-8370972,37.05,01769
__import__.supplierinfo_79192-8370989,37.05,01773
__import__.supplierinfo_79192-8371003,22.10,01906
__import__.supplierinfo_79192-8371026,22.10,01907
__import__.supplierinfo_79192-8371049,22.10,01908
__import__.supplierinfo_79192-8371061,22.10,01909
__import__.supplierinfo_79192-8371084,21.65,
__import__.supplierinfo_79192-8371090,22.10,01910
__import__.supplierinfo_79192-8371115,26.65,02500
__import__.supplierinfo_79192-8371121,30.00,02503
__import__.supplierinfo_79192-8371138,164.40,01920
__import__.supplierinfo_79192-8371144,50.35,01919
__import__.supplierinfo_79192-8371150,24.15,01025
