id,list_price,name,categ_id/id
__import__.product_8368805,14.29,"TTA MECHE 2,0x85mm MANDRIN A CLE 2036",specific_data.product_categ__mat_ortho
__import__.product_8368811,19.50,"TTA MECHE 2,0x100mm VER RAPIDE 1018",specific_data.product_categ__mat_ortho
__import__.product_8368834,14.29,"TTA MECHE 2,5x96mm MANDRIN A CLE 2037",specific_data.product_categ__mat_ortho
__import__.product_8368840,19.50,"TTA MECHE 2,5x110mm VER RAPIDE 1019",specific_data.product_categ__mat_ortho
__import__.product_8370914,27.36,RONDELLE LIGAMENT POINTE 2.0/2.4 1884,specific_data.product_categ__mat_ortho
__import__.product_8370920,10.71,RONDELLE LIGAMENT POINTE 2.7/3.4 2441,specific_data.product_categ__mat_ortho
__import__.product_8375952,134.14,TTA GUIDE MECHE 8 TROUS             1015,specific_data.product_categ__mat_ortho
__import__.product_8379447,32.93,"TTA MECHE 1,8x140mm VER RAPIDE  395",specific_data.product_categ__mat_ortho
__import__.product_8383963,115.64,TTA GUIDE MECHE 4 TROUS              724,specific_data.product_categ__mat_ortho
__import__.product_8385117,36.71,ECARTEUR DE GELPI 09cm       1989,specific_data.product_categ__mat_ortho
__import__.product_8385152,45.79,ECARTEUR DE GELPI 14cm       1991,specific_data.product_categ__mat_ortho
__import__.product_8385169,56.07,ECARTEUR DE GELPI 18cm       1992,specific_data.product_categ__mat_ortho
__import__.product_8487036,66.98,PAPIER TORK M2 2plis 10.12.40  x6,specific_data.product_categ__mat_conso
__import__.product_9040237,32.84,TRAUMEEL S US.VET GEL 250GR HEEL,specific_data.product_categ__homeo
