id,name,categ_id/id
__import__.product_1202670,REPIDOSE SYSTAMEX 1 BOLUS,__temp__.product_categ_undefined
__import__.product_1202688,REPIDOSE FORTE 1 BOLUS,__temp__.product_categ_undefined
__import__.product_1203462,TYLOSAN 20 100ML,specific_data.product_categ__antimicrobiens
__import__.product_1204817,GLUCOCARD MEMORY 50 STRIPS R28350,specific_data.product_categ__mat_conso
__import__.product_1205187,PREME SCIENCE RECOVERY TUB PLUS 3,specific_data.product_categ__ali_physio
__import__.product_1211358,RISPOVAL IBR VIVANT  20ML,specific_data.product_categ__vaccins
__import__.product_1211366,RISPOVAL IBR VIVANT 100ML,specific_data.product_categ__vaccins
__import__.product_1211374,RISPOVAL IBR INACT  20ML,specific_data.product_categ__vaccins
__import__.product_1211382,RISPOVAL IBR INACT 100ML,specific_data.product_categ__vaccins
__import__.product_1224757,TEGADERM 6CN X 7CM R.1624W/5,specific_data.product_categ__mat_conso
__import__.product_1257807,TG FIX E FILET TUBULAIRE 25M,specific_data.product_categ__mat_conso
__import__.product_1259985,DIAFARM KATTEMALT MALT POUR CHATS,specific_data.product_categ__divers_para
__import__.product_1261759,CAPUCHONS LF POUR THERMOSCAN X40,specific_data.product_categ__mat_conso
__import__.product_1277714,ONE TOUCH 50 TIG.ONE TOUCH II tri,specific_data.product_categ__mat_conso
__import__.product_1288125,MOLLELAST HAFT 10CM X 20M,__temp__.product_categ_undefined
__import__.product_1288372,TENSIOMETRE OMRON RX POUR POIGNET,specific_data.product_categ__mat_equipement
__import__.product_1290022,CHAMP FOLIODRAPE  100x150cm 3c /2,specific_data.product_categ__mat_conso
__import__.product_1290337,"GANT PEHA TAFT 8,0 STER NON POUDR",__temp__.product_categ_undefined
__import__.product_1290410,"GANT PEHATEX COTON 9,5 100 PAIRES",__temp__.product_categ_undefined
__import__.product_1294172,MICROPORE 25MM X5M RECHARGE,__temp__.product_categ_undefined
__import__.product_1296037,BEND A RETE N°6  59MMx25M,__temp__.product_categ_undefined
__import__.product_1302303,DR MACH LAMPE MACH 130F STATIF SW,specific_data.product_categ__mat_equipement
__import__.product_1303254,ACCUCHEK SENSOR COMFORT STARTKIT,specific_data.product_categ__mat_conso
__import__.product_1316417,"CIRCUIT DE BAIN 40"" UNILIMB",specific_data.product_categ__mat_cardio
__import__.product_1320860,SHAMPOUX SHAMPOOING 150ML,specific_data.product_categ__divers_para
__import__.product_1328061,ORAL B FIL DENTAIRE,specific_data.product_categ__humain
__import__.product_1334895,NEBULISEUR COMPRESS OMRON CX3,specific_data.product_categ__mat_equipement
__import__.product_1335892,DIAFARM SOL NETTOYANTE PREPUCE 10,specific_data.product_categ__divers_para
__import__.product_1336403,TENDERWET 24 7.5x7.5CM PAR 12 PIE,__temp__.product_categ_undefined
__import__.product_1336411,TENDERWET 10x10CM PAR 14 PIECES,__temp__.product_categ_undefined
__import__.product_1336858,"OMNIPOR 1,25cmx5m",__temp__.product_categ_undefined
__import__.product_1336882,"OMNIPOR 1,25cmx9,2m",__temp__.product_categ_undefined
__import__.product_1350602,ATUSSIN SIROP 60ML/,specific_data.product_categ__divers_veto
__import__.product_1371624,RUMIN 10X100GR,specific_data.product_categ__vitamines
__import__.product_1374552,"ADVOCIN SOL INJ 2,5% 100ML",specific_data.product_categ__antimicrobiens
__import__.product_1400079,MATRX 02 FLOWMETER W/FLUSH,__temp__.product_categ_undefined
__import__.product_1400100,PIED HYDRAULIQUE 2 MOUVEMENTS,specific_data.product_categ__mat_equipement
__import__.product_1400126,SMI CATG PL USP0 EP4 HR26 BTE DE,specific_data.product_categ__mat_sutures
__import__.product_1400333,OCCASION AP ANESTH MINERVE,specific_data.product_categ__mat_img_radio
__import__.product_1400412,UNITE DENTISTERIE MATRX: LE DETAR,specific_data.product_categ__mat_dentisterie
__import__.product_1400414,MATRX PROPHY PASTE,specific_data.product_categ__mat_dentisterie
__import__.product_1400415,MATRX PROPHY CUPS SNAP ON STYLE,specific_data.product_categ__mat_conso
__import__.product_1400630,UNITE DENTISTERIE DDS MATRX  ASPI,specific_data.product_categ__mat_dentisterie
__import__.product_1401189,APIS HA 10AMP,__temp__.product_categ_undefined
__import__.product_1404321,CUVE D'ANESTHESIE FLUOTH RECONDITI,__temp__.product_categ_undefined
